half_wavelength_mm, fcr_MPa, Pcr_kN
600.0, 235.9573, 40.28454
605.0, 237.3667, 40.52518
610.0, 238.8075, 40.77116
615.0, 240.2785, 41.02229
620.0, 241.7784, 41.27837
625.0, 243.3062, 41.53920
630.0, 244.8607, 41.80461
635.0, 246.4408, 42.07438
640.0, 248.0454, 42.34832
645.0, 249.6733, 42.62625
650.0, 251.3233, 42.90796
655.0, 252.9944, 43.19326
660.0, 254.6853, 43.48194
665.0, 256.3949, 43.77382
670.0, 258.1220, 44.06869
675.0, 259.8655, 44.36634
680.0, 261.6240, 44.66657
685.0, 263.3964, 44.96918
690.0, 265.1816, 45.27395
695.0, 266.9781, 45.58067
700.0, 268.7848, 45.88912
705.0, 270.6004, 46.19910
710.0, 272.4236, 46.51037
715.0, 274.2530, 46.82270
720.0, 276.0874, 47.13588
725.0, 277.9253, 47.44966
730.0, 279.7654, 47.76382
735.0, 281.6062, 48.07810
740.0, 283.4464, 48.39226
745.0, 285.2844, 48.70606
750.0, 287.1187, 49.01923
755.0, 288.9479, 49.33153
760.0, 290.7704, 49.64268
765.0, 292.5846, 49.95241
770.0, 294.3889, 50.26046
775.0, 296.1818, 50.56655
780.0, 297.9614, 50.87039
785.0, 299.7263, 51.17170
790.0, 301.4746, 51.47019
795.0, 303.2046, 51.76555
800.0, 304.9147, 52.05751
805.0, 306.6029, 52.34574
810.0, 308.2676, 52.62994
815.0, 309.9069, 52.90981
820.0, 311.5189, 53.18503
825.0, 313.1019, 53.45529
830.0, 314.6540, 53.72028
835.0, 316.1733, 53.97967
840.0, 317.6581, 54.23316
845.0, 319.1063, 54.48042
850.0, 320.5163, 54.72114
855.0, 321.8862, 54.95501
860.0, 323.2141, 55.18172
865.0, 324.4982, 55.40097
870.0, 325.7369, 55.61244
875.0, 326.9283, 55.81585
880.0, 328.0709, 56.01092
885.0, 329.1629, 56.19735
890.0, 330.2027, 56.37489
895.0, 331.1890, 56.54327
900.0, 332.1202, 56.70225
905.0, 332.9949, 56.85159
910.0, 333.8120, 56.99109
915.0, 334.5701, 57.12052
920.0, 335.2682, 57.23971
925.0, 335.9053, 57.34848
930.0, 336.4806, 57.44669
935.0, 336.9932, 57.53421
940.0, 337.4425, 57.61092
945.0, 337.8280, 57.67674
950.0, 337.6060, 57.63884
955.0, 334.5122, 57.11064
960.0, 331.4543, 56.58856
965.0, 328.4319, 56.07255
970.0, 325.4449, 55.56259
975.0, 322.4930, 55.05862
980.0, 319.5760, 54.56060
985.0, 316.6934, 54.06847
990.0, 313.8451, 53.58219
995.0, 311.0308, 53.10169
1000.0, 308.2500, 52.62694
