mode, Pcr_kN, Pcr_kips, fcr_MPa, fcr_ksi, class, rigid_body_fraction, webflange_corner_ratio, flangelip_corner_ratio, liptip_ratio, hole_energy_fraction, hole_displacement_ratio, web_halfwaves, liptip_halfwaves, liptip_halfwaves_seg1, liptip_halfwaves_seg2, global_description
188, 62.4516, 14.0397, 365.796, 53.0542, local, 0.228, 0.032, 0.138, 0.440, 0.081, 0.78, 87, 54, 27, 27, 
189, 62.7452, 14.1057, 367.515, 53.3036, local, 0.236, 0.058, 0.187, 0.494, 0.084, 0.76, 69, 51, 26, 26, 
190, 62.8875, 14.1377, 368.349, 53.4245, local, 0.246, 0.053, 0.266, 0.662, 0.081, 0.78, 89, 42, 22, 20, 
191, 62.9002, 14.1405, 368.423, 53.4352, local, 0.123, 0.072, 0.359, 0.744, 0.097, 0.80, 89, 42, 22, 21, 
192, 63.3236, 14.2357, 370.903, 53.7950, local, 0.502, 0.208, 0.368, 0.562, 0.084, 0.82, 88, 47, 24, 24, 
193, 63.4644, 14.2674, 371.728, 53.9145, local, 0.093, 0.063, 0.142, 0.677, 0.067, 0.62, 90, 46, 23, 23, 
194, 63.5323, 14.2826, 372.126, 53.9723, local, 0.283, 0.051, 0.256, 0.672, 0.066, 0.92, 59, 40, 20, 20, 
195, 63.7954, 14.3418, 373.667, 54.1958, local, 0.073, 0.045, 0.150, 0.809, 0.050, 0.56, 83, 47, 24, 24, 
196, 63.9608, 14.3790, 374.636, 54.3363, local, 0.292, 0.073, 0.284, 0.461, 0.083, 0.90, 70, 55, 28, 28, 
197, 64.0024, 14.3883, 374.879, 54.3716, local, 0.187, 0.103, 0.227, 0.877, 0.042, 0.56, 76, 42, 22, 22, 
198, 64.0483, 14.3986, 375.148, 54.4106, local, 0.209, 0.036, 0.136, 0.586, 0.116, 0.98, 60, 42, 21, 21, 
199, 64.3674, 14.4704, 377.017, 54.6817, local, 0.385, 0.227, 0.461, 0.754, 0.106, 0.80, 21, 23, 12, 12, 
200, 64.5046, 14.5012, 377.820, 54.7982, local, 0.237, 0.138, 0.261, 0.764, 0.079, 0.62, 78, 44, 22, 22, 
